Cantharellus convolvulatus,Comestible,No tóxico
Cantharellus lateritius,Comestible,No tóxico
Cantharellus minor,Comestible,No tóxico
Cantharellus odoratus,Comestible,No tóxico
Cantharellus subalbidus,Comestible,No tóxico
Ceriporia reticulata,Comestible,No tóxico
Chalciporus piperatus,Comestible,No tóxico
Chlorophyllum molybdites,No comestible,Tóxico
Chroogomphus jamaicensis,Comestible,No tóxico
Chroogomphus rutilus,Comestible,Tóxico
Chroogomphus vinicolor,Comestible,No tóxico
Clavariadelphus pistillaris,Comestible,No tóxico
Clavariadelphus truncatus,Comestible,No tóxico
Clavulina amethystina,Comestible,No tóxico
Clavulina cavipes,Comestible,No tóxico
Clavulina cinerea,Comestible,No tóxico
Clavulina cinerea f. sublilascens,Comestible,No tóxico
Clavulina coralloides,Comestible,No tóxico
Clavulina rugosa,Comestible,No tóxico
Climacocystis borealis,Comestible,No tóxico
Clitocybe costata,Comestible,No tóxico
Clitocybe infundibuliformis,Comestible,No tóxico
Clitocybe nebularis,Comestible,No tóxico
Clitocybe phyllophila,No comestible,Tóxico
Clitocybe rivulosa,No comestible,Tóxico
Clitocybe squamulosa,Comestible,No tóxico
Clitocybe suaveolens,Comestible,No tóxico
Collybia fusipes,No comestible,Tóxico
Collybia polyphylla,Comestible,No tóxico
Cookeina speciosa,Comestible,No tóxico
Cookeina sulcipes,Comestible,No tóxico
Cookeina tricholoma,Comestible,No tóxico
Coprinellus truncorum,Comestible,No tóxico
coprinopsis_atramentaria,No comestible,Tóxico
Coprinus comatus,Comestible,No tóxico
Cortinarius cinnamomeus,No comestible,Tóxico
Cortinarius glaucopus,Comestible,No tóxico
Cortinarius praestans,Comestible,No tóxico
Cortinarius purpurascens,Comestible,No tóxico
Cortinarius secc. Malacii sp.,Comestible,No tóxico
Cortinarius semisanguineus,No comestible,Tóxico
Cortinarius violaceus,Comestible,No tóxico
Craterellus cornucopioides,Comestible,No tóxico
Craterellus tubaeformis,Comestible,No tóxico
Crepidotus nephrodes,Comestible,No tóxico
Cyanoboletus pulverulentus,No comestible,Tóxico
Dactylosporina aff. steffenii,Comestible,No tóxico
Dactylosporina steffenii,Comestible,No tóxico
Daldinia concentrica,Comestible,No tóxico
Daldinia fissa,Comestible,No tóxico
Daldinia loculatoides,Comestible,No tóxico
Daldinia vernicosa,Comestible,No tóxico
Deconica coprophila,No comestible,Tóxico
Entoloma abortivum,Comestible,No tóxico
Entoloma clypeatum,Comestible,No tóxico
Entoloma sericeum,No comestible,Tóxico
Entoloma sinuatum,No comestible,Tóxico
Favolus tenuiculus,Comestible,No tóxico
Fistulinella wolfeana,Comestible,No tóxico
Flammulina velutipes,Comestible,No tóxico
Floccularia luteovirens,Comestible,No tóxico
Fuligo septica,Comestible,No tóxico
Galerina marginata,No comestible,Tóxico
Ganoderma oerstedii ,Comestible,No tóxico
Gautieria mexicana,Comestible,No tóxico
Gomphus clavatus,Comestible,No tóxico
Gomphus kauffmanii,Comestible,No tóxico
Gymnopilus junonius,No comestible,Tóxico
Gymnopus alkalivirens,No comestible,Tóxico
Gymnopus confluens,Comestible,No tóxico
Gymnopus dryophilus,Comestible,No tóxico
Gyrodon castanellus,Comestible,No tóxico
Gyromitra esculenta,Comestible,No tóxico
Gyromitra infula,Comestible,Tóxico
Harrya chromipes,Comestible,No tóxico
Hebeloma alpinum,Comestible,No tóxico
Hebeloma fastibile,Comestible,No tóxico
Hebeloma leucosarx,Comestible,No tóxico
Hebeloma mesophaeum,Comestible,No tóxico
Helvella acetabulum,Comestible,No tóxico
Helvella albella,Comestible,No tóxico
Helvella atra,Comestible,No tóxico
Helvella costifera ,Comestible,No tóxico
Helvella crispa,Comestible,No tóxico
Helvella elastica,Comestible,No tóxico
Helvella jocatoi,Comestible,No tóxico
Helvella lacunosa,Comestible,No tóxico
Helvella leucopus,Comestible,No tóxico
Helvella macropus,Comestible,No tóxico
Helvella sulcata,Comestible,No tóxico
Hericium coralloides,Comestible,No tóxico
Hericium erinaceus,Comestible,No tóxico
Hohenbuehelia auriscalpium,Comestible,No tóxico
Hohenbuehelia petaloides,Comestible,No tóxico
Hohenbuehelia tremula,Comestible,No tóxico
Hydnum albidum,Comestible,No tóxico
Hydnum repandum,Comestible,No tóxico
Hydnum rufescens,Comestible,No tóxico
Hydnum subolympicum,Comestible,No tóxico
Hydnum umbilicatum Peck,Comestible,No tóxico
Hydnum umbilicatum,Comestible,No tóxico
Hygrocybe conica,No comestible,Tóxico
Hygrophoropsis aurantiaca,Comestible,No tóxico
Hygrophoropsis olida,Comestible,No tóxico
Hygrophorus chrysodon,Comestible,No tóxico
Hygrophorus discoideus,Comestible,No tóxico
Hygrophorus erubescens var. persicolor,Comestible,No tóxico
Hygrophorus erubescens,Comestible,No tóxico
Hygrophorus hypothejus,Comestible,No tóxico
Hygrophorus lindtneri,Comestible,No tóxico
Hygrophorus purpurascens,Comestible,No tóxico
Hygrophorus russula,Comestible,No tóxico
Hygrophorus sordidus,Comestible,No tóxico
Hypholoma acutum,No comestible,Tóxico
Hypholoma fasciculare,No comestible,Tóxico
Hypomyces lactifluorum,Comestible,No tóxico
Hypomyces macrosporus,Comestible,No tóxico
Imperator rhodopurpureus,No comestible,Tóxico
Imperator torosus,No comestible,Tóxico
Infundibulicybe geotropa,Comestible,No tóxico
Infundibulicybe gibba,Comestible,No tóxico
Inocybe assimilata,No comestible,Tóxico
Inocybe brunnea,No comestible,Tóxico
Inocybe calospora ,No comestible,Tóxico
Inocybe cincinnata,No comestible,Tóxico
Inocybe dulcamara,No comestible,Tóxico
Inocybe geophylla,No comestible,Tóxico
Inocybe lutescens,No comestible,Tóxico
Inocybe ovatocystis,No comestible,Tóxico
Inocybe petiginosa,No comestible,Tóxico
Inocybe praetervisa ,No comestible,Tóxico
Inocybe pusio,No comestible,Tóxico
Inocybe xanthomelas,No comestible,Tóxico
Inosperma cervicolor,No comestible,Tóxico
Inosperma erubescens,No comestible,Tóxico
Laccaria amethysteo-occidentalis,Comestible,No tóxico
Laccaria amethystina,Comestible,No tóxico
Laccaria bicolor,Comestible,No tóxico
Laccaria laccata,Comestible,No tóxico
Laccaria nobilis,Comestible,No tóxico
Laccaria ochropurpurea,Comestible,No tóxico
Laccaria proxima,Comestible,No tóxico
Laccaria proximella,Comestible,No tóxico
Laccaria squarrosa,Comestible,No tóxico
Laccaria trichodermophora,Comestible,No tóxico
Laccaria vinaceobrunnea,Comestible,No tóxico
Lactarius chiapanensis,Comestible,No tóxico
Lactarius corrugis,Comestible,No tóxico
Lactarius deliciosus,Comestible,No tóxico
Lactarius deliciosus var. olivaceosordidus,Comestible,No tóxico
Lactarius deterrimus,Comestible,No tóxico
Lactarius gerardii,Comestible,No tóxico
Lactarius indigo,Comestible,No tóxico
Lactarius lacteolutescens,Comestible,No tóxico
Lactarius mexicanus,No comestible,Tóxico
Lactarius piperatus,Comestible,No tóxico
Lactarius psammicola,Comestible,No tóxico
Lactarius rufus,No comestible,Tóxico
Lactarius salmonicolor,Comestible,No tóxico
Lactarius sanguifluus,Comestible,No tóxico
Lactarius scrobiculatus,Comestible,No tóxico
Lactarius subdulcis,Comestible,No tóxico
Lactarius torminosus,No comestible,Tóxico
Lactarius uvidus,Comestible,No tóxico
Lactarius vellereus,Comestible,No tóxico
Lactarius vinaceorufescens,No comestible,Tóxico
Lactarius volemus,Comestible,No tóxico
Lactarius yazooensis,Comestible,No tóxico
Laetiporus sulphureus,Comestible,No tóxico
Leccinum aerugineum,Comestible,No tóxico
Leccinum albellum,Comestible,No tóxico
Leccinum aurantiacum,Comestible,No tóxico
Leccinum eximium,Comestible,No tóxico
Leccinum manzanitae,Comestible,No tóxico
Leccinum rugosiceps,Comestible,No tóxico
Leccinum scabrum,Comestible,No tóxico
Leccinum vulpinum,Comestible,No tóxico
Lentinula boryana,Comestible,No tóxico
Lentinus crinitus,Comestible,No tóxico
Lentinus levis,Comestible,No tóxico
Lentinus strigellus,Comestible,No tóxico
Lentinus strigosus,Comestible,No tóxico
Lentinus velutinus,Comestible,No tóxico
Leotia viscosa,Comestible,No tóxico
Lepiota aspera,Comestible,No tóxico
